location_expanded_country,total_projects,lat,long
United States,66222,37.0902,-95.7129
United Kingdom,13276,55.3781,-3.436
Hong Kong,1079,22.3193,114.1694
Germany,2589,51.1657,10.4515
Canada,5368,56.1304,-106.3468
Sweden,1014,60.1282,18.6435
Mexico,2657,23.6345,-102.5528
Australia,2696,-25.2744,133.7751
Singapore,673,1.3521,103.8198
Netherlands,944,52.1326,5.2913
Italy,2010,41.8719,12.5674
Spain,1825,40.4637,-3.7492
France,2226,46.2276,2.2137
Japan,661,36.2048,138.2529
Denmark,593,56.2639,9.5018
